AEM RADIATION MODEL vs CAPTURED TRANSIT DATA
Generated: 2026-07-07T10:44:10.577Z
Aem formula (%/Mkm): rad_noshield=0.0734*AU^-2, rad_shield=0.0224*AU^-2, meteoroid_floor=0.0002 ; *distMkm
UNIT NOTE: Aem outputs PERCENT; segment.damage is a FRACTION. Predicted converted to fraction (÷100) to compare.
distMkm = stlDistance_m/1e9 ; AU = SemiMajorAxis_m/1.496e11 ; density = MeteoroidDensity (systemstars.json)
==================================================================================================================================

FULL PER-ROW TABLE (TRANSIT segments)
----------------------------------------------------------------------------------------------------------------------------------
planet   sys     T shield        AU   distMkm      radFrac   floorFrac     predFrac     observed        resid rad%ofPred
UV-351a  UV-351  G noshield   1.670     0.000    2.6325e-9  2.0000e-11    2.6525e-9    0.0000e+0   -2.6525e-9      99.2%
UV-351a  UV-351  G noshield   1.670     0.000    2.6325e-9  2.0000e-11    2.6525e-9    0.0000e+0   -2.6525e-9      99.2%
UV-351a  UV-351  G shield     1.670     0.000   8.0337e-10  2.0000e-11   8.2337e-10    0.0000e+0  -8.2337e-10      97.6%
UV-351a  UV-351  G shield     1.670     0.000   8.0337e-10  2.0000e-11   8.2337e-10    0.0000e+0  -8.2337e-10      97.6%
UV-351a  UV-351  G shield     1.670     0.000   8.0337e-10  2.0000e-11   8.2337e-10    0.0000e+0  -8.2337e-10      97.6%
UV-351a  UV-351  G shield     1.670     0.000   8.0337e-10  2.0000e-11   8.2337e-10    0.0000e+0  -8.2337e-10      97.6%
VH-331a  VH-331  M noshield   0.159     0.057    1.6489e-3   1.1414e-7    1.6490e-3    1.3466e-4   -1.5144e-3     100.0%
VH-331a  VH-331  M noshield   0.159     0.057    1.6489e-3   1.1414e-7    1.6490e-3    1.3466e-4   -1.5144e-3     100.0%
VH-331a  VH-331  M noshield   0.159     0.057    1.6538e-3   1.1448e-7    1.6539e-3    1.3506e-4   -1.5189e-3     100.0%
VH-331a  VH-331  M noshield   0.159     0.057    1.6538e-3   1.1448e-7    1.6539e-3    1.3506e-4   -1.5189e-3     100.0%
VH-331a  VH-331  M noshield   0.159     0.057    1.6549e-3   1.1455e-7    1.6550e-3    1.3515e-4   -1.5199e-3     100.0%
VH-331a  VH-331  M noshield   0.159     0.057    1.6599e-3   1.1490e-7    1.6600e-3    1.3556e-4   -1.5244e-3     100.0%
VH-331a  VH-331  M noshield   0.159     0.057    1.6599e-3   1.1490e-7    1.6600e-3    1.3555e-4   -1.5244e-3     100.0%
VH-331a  VH-331  M noshield   0.159     0.057    1.6549e-3   1.1455e-7    1.6550e-3    1.3515e-4   -1.5198e-3     100.0%
VH-331a  VH-331  M shield     0.159     0.056    4.9565e-4   1.1242e-7    4.9576e-4    1.3264e-4   -3.6312e-4     100.0%
VH-331a  VH-331  M shield     0.159     0.056    4.9565e-4   1.1242e-7    4.9576e-4    1.3264e-4   -3.6312e-4     100.0%
VH-331a  VH-331  M shield     0.159     0.056    4.9739e-4   1.1282e-7    4.9750e-4    1.3310e-4   -3.6440e-4     100.0%
VH-331a  VH-331  M shield     0.159     0.056    4.9737e-4   1.1281e-7    4.9749e-4    1.3310e-4   -3.6439e-4     100.0%
WX-827a  WX-827  B noshield   1.428    30.173    1.0867e-2   6.0346e-5    1.0927e-2    5.8729e-1    5.7636e-1      99.4%
WX-827a  WX-827  B noshield   1.428    30.173    1.0867e-2   6.0346e-5    1.0927e-2    5.8729e-1    5.7636e-1      99.4%
WX-827a  WX-827  B noshield   1.428    29.030    1.0455e-2   5.8061e-5    1.0513e-2    5.6503e-1    5.5452e-1      99.4%
WX-827a  WX-827  B noshield   1.428    28.843    1.0388e-2   5.7686e-5    1.0445e-2    5.6138e-1    5.5094e-1      99.4%
WX-827a  WX-827  B shield     1.428    30.172    3.3162e-3   6.0344e-5    3.3765e-3    5.8727e-1    5.8389e-1      98.2%
WX-827a  WX-827  B shield     1.428    30.172    3.3162e-3   6.0344e-5    3.3765e-3    5.8727e-1    5.8389e-1      98.2%
WX-827a  WX-827  B shield     1.428    29.032    3.1909e-3   5.8065e-5    3.2489e-3    5.6506e-1    5.6182e-1      98.2%
WX-827a  WX-827  B shield     1.428    28.845    3.1703e-3   5.7689e-5    3.2279e-3    5.6141e-1    5.5819e-1      98.2%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
ZV-307c  ZV-307  F noshield   1.163     0.000    5.4262e-9  2.0000e-11    5.4462e-9    0.0000e+0   -5.4462e-9      99.6%
